Age,Monthly Income (INR),Risk Appetite,Time Horizon (Years),Investment Goal,Recommended SIP Funds,score,Predicted Score,Cluster
42,142468,0,19,1,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",42752.700000000004,42732.49792315024,1
38,104387,0,16,0,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",31326.899999999998,31373.624126690916,1
51,42360,0,10,3,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",12720.5,12774.21381488434,0
53,49728,2,17,0,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",14932.8,14849.976391900078,2
52,125105,0,15,1,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",37545.0,37605.06954785819,1
55,33129,0,2,3,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",9950.399999999998,9903.697391334013,0
55,29596,1,6,3,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",8891.5,8884.750144201007,0
39,47391,0,12,0,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",14227.499999999998,14215.133272346578,1
42,23578,0,6,1,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",7083.099999999999,7070.231291350479,1
47,123925,0,20,3,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",37191.200000000004,37233.2581277446,0
42,92358,0,17,0,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",27719.2,27787.26324989948,1
58,78495,0,4,1,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",23560.999999999996,23573.22749960837,1
51,126280,1,16,0,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",37897.59999999999,37941.95119194905,1
27,92287,2,1,2,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",27692.300000000003,27659.48900008847,2
59,116797,1,17,3,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",35054.8,35077.5008401066,0
43,55085,2,10,2,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",16536.7,16532.94875228224,2
42,65619,1,20,1,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",19698.4,19690.531034281255,1
37,42705,2,14,2,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",12822.3,12795.76699975287,2
32,36698,2,6,2,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",11017.6,10995.59141425145,2
50,118745,0,20,1,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",35637.6,35679.22909476775,1
50,76522,2,9,0,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",22968.8,22968.135339188473,2
21,50499,2,2,2,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",15154.9,15179.262436969579,2
32,143516,2,8,0,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",43063.2,42976.02901384287,2
34,36782,1,2,2,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",11042.2,10991.396714107796,0
26,108244,1,20,0,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",32482.6,32521.344899924796,1
52,114144,0,13,1,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",34256.299999999996,34221.05860754807,1
34,52290,0,4,2,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",15694.8,15687.388465938875,0
59,115323,0,15,1,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",34611.8,34648.133299828856,1
28,117157,0,16,2,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",35156.09999999999,35159.1963246281,0
25,21626,0,2,1,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",6493.3,6411.781012974494,1
56,142016,0,14,1,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",42618.899999999994,42764.810988931604,1
57,64981,0,19,2,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",19509.7,19481.678232817467,0
37,85667,0,12,2,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",25710.100000000002,25749.44037261527,0
44,80531,2,1,2,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",24168.9,24231.78567309035,2
54,63069,0,17,3,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",18935.2,18911.069673174214,0
36,87727,2,20,0,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",26329.7,26283.837778728463,2
34,47251,2,7,3,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",14184.199999999997,14186.536640408496,2
20,75797,0,7,3,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",22744.8,22757.06318537159,0
37,82633,1,19,1,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",24801.399999999998,24866.12486862796,1
38,115301,1,1,2,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",34598.499999999985,34656.09350396235,0
55,62266,2,19,0,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",18695.0,18713.77808012771,2
52,48099,0,18,1,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",14443.8,14504.065004582566,1
47,34090,0,5,3,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",10237.699999999999,10297.194619441896,0
40,41322,2,11,2,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",12407.400000000001,12429.815863860482,2
48,144984,1,3,1,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",43505.69999999999,43478.73801003764,1
54,66028,1,13,2,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",19822.199999999997,19717.621488051805,0
54,143035,0,2,1,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",42921.8,42974.80508170859,1
33,118524,0,15,2,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",35566.99999999999,35542.613407377685,0
21,92047,2,5,3,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",27620.0,27576.925608471647,2
41,144608,2,19,0,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",43394.8,43383.346199121996,2
31,74570,2,18,3,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",22381.5,22364.639892153195,2
39,143807,0,11,0,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",43152.1,43217.27225859758,1
59,105727,0,6,2,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",31731.3,31686.822886635375,0
41,38669,0,19,1,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",11612.8,11645.762292475367,1
32,82652,0,20,3,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",24806.3,24833.66284607505,0
41,55984,2,7,0,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",16805.200000000004,16875.854653499035,2
26,143512,1,17,3,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",43062.7,43024.15159844888,0
54,136883,0,9,0,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",41077.50000000001,41139.918429362544,1
52,83666,0,3,3,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",25111.1,25072.006207129274,0
47,113073,1,16,0,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",33934.7,33973.09754289898,1
22,110240,0,17,0,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",33079.8,33065.61247444956,1
35,91033,0,1,2,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",27317.3,27307.63986005224,0
42,132766,0,4,0,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",39839.0,39822.08811277049,1
31,58411,1,8,2,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",17531.5,17519.274625330698,0
24,93263,2,20,0,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",27988.1,28009.425669920878,2
32,107836,1,4,1,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",32358.3,32397.582195017356,1
50,60694,2,19,1,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",18222.5,18170.10336447299,2
40,112647,2,2,1,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",33803.0,33798.92309158667,2
29,20037,1,17,0,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",6020.499999999999,6281.116912861009,1
22,106799,2,17,2,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",32048.100000000002,32071.052407907882,2
27,110543,1,19,2,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",33172.5,33161.703478045856,0
55,27108,1,4,0,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",8144.4,8155.117077522771,1
20,86015,0,19,1,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",25812.399999999998,25768.843684706826,1
42,54120,0,11,1,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",16246.7,16250.82790986899,1
31,147711,0,12,2,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",44322.09999999999,44612.556859700126,0
26,106119,0,6,1,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",31842.199999999997,31870.319357786677,1
20,27111,2,14,3,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",8140.799999999999,8135.291577939022,2
41,71374,1,4,2,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",21421.600000000002,21423.778165091935,0
39,144543,2,14,1,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",43374.00000000001,43383.428528608405,2
25,61007,2,3,2,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",18308.3,18316.16920122271,2
30,106485,2,12,3,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",31954.600000000002,31956.416131509992,2
41,20207,2,20,2,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",6074.899999999999,6259.549312651322,2
34,31023,2,20,2,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",9318.3,9378.693248154039,2
51,81862,2,2,2,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",24569.800000000003,24597.90621145144,2
41,30115,1,5,2,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",9044.100000000002,9115.872309897435,0
37,140544,1,4,3,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",42171.9,42142.91588207672,0
60,49808,2,16,0,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",14958.0,15063.033474036538,2
25,104843,0,19,2,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",31461.899999999998,31518.9681252099,0
54,35594,0,16,2,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",10692.4,10759.320684293938,0
42,62556,2,7,1,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",18777.100000000002,18725.103625040687,2
23,136540,2,17,2,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",40970.6,41014.61189262631,2
55,103323,0,16,1,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",31011.199999999997,31044.595346822858,1
36,147547,2,1,0,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",44271.899999999994,44227.301945177285,2
21,139732,1,15,3,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",41927.299999999996,42027.78451674403,0
21,76664,0,19,3,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",23007.5,23046.144635576096,0
33,39568,0,16,0,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",11880.2,12000.354154598317,1
31,96273,2,20,3,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",28892.8,28909.88211843421,2
57,124877,1,14,0,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",37477.5,37513.93710250837,1
59,32872,2,11,0,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",9876.0,9901.474728426256,2
29,99261,2,7,0,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",29785.9,29752.050510273963,2
39,149490,2,17,3,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",44858.90000000001,44691.833548603776,2
40,106595,2,15,1,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",31990.0,31978.75133707514,2
36,35847,2,13,0,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",10764.300000000001,10755.799528085821,2
20,138029,2,18,2,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",41416.899999999994,41439.69410704706,2
46,118223,1,6,3,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",35477.799999999996,35442.91294368617,0
33,26629,2,12,0,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",7998.099999999999,8046.620612928516,2
57,54497,0,11,0,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",16362.699999999999,16431.165402727085,1
26,27271,0,18,2,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",8190.299999999999,8199.350200701154,0
41,125788,0,1,1,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",37744.899999999994,37738.84950908928,1
26,43603,0,3,1,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",13086.800000000001,13027.311667823988,1
51,37274,0,6,1,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",11193.7,11178.046562638532,1
29,67323,2,14,0,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",20205.899999999998,20101.82740547934,2
48,57415,2,11,0,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",17236.7,17161.1908826352,2
47,90519,1,12,0,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",27167.700000000004,27145.02009474853,1
24,64146,0,17,3,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",19252.3,19181.295895203555,0
59,120160,1,15,2,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",36063.2,35996.83525445821,0
37,142571,2,9,0,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",42780.9,42730.130202942135,2
39,133933,1,16,2,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",40191.299999999996,40267.19979560898,0
33,100442,0,16,2,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",30142.6,30165.960632951334,0
35,148977,2,16,1,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",44703.799999999996,44656.198433859645,2
58,60513,2,1,3,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",18166.399999999998,18160.76471796474,2
45,38649,0,6,0,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",11604.9,11656.905293995887,1
24,93580,0,9,1,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",28080.699999999997,28112.546497970496,1
49,106520,0,2,1,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",31966.3,31986.02879314148,1
32,120557,1,9,0,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",36175.5,36121.391101922774,1
57,75876,1,15,2,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",22777.600000000002,22785.471481231973,0
26,37292,1,14,1,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",11195.900000000001,11190.846727655586,1
41,47098,0,5,2,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",14138.800000000001,14080.929681326961,0
43,97229,0,16,3,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",29180.8,29119.239410020964,0
35,27507,2,5,2,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",8260.7,8252.695322582049,2
40,61757,1,2,3,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",18536.0,18495.609669602534,0
41,95145,0,9,2,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",28553.7,28477.62021624712,0
46,62498,2,2,1,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",18759.5,18716.28801167372,2
53,64776,1,16,1,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",19446.899999999998,19415.5850280758,1
55,127903,0,7,3,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",38383.600000000006,38393.18792090109,0
59,54561,1,20,0,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",16384.3,16414.23824396579,1
21,54677,2,16,3,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",16411.2,16403.860283031932,2
37,106183,1,7,3,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",31864.2,31893.635155568292,0
20,63080,0,15,2,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",18931.2,18930.35401525521,0
54,31053,0,18,2,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",9330.5,9337.153155792823,0
50,34392,1,6,3,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",10329.300000000001,10284.434322793468,0
20,102303,1,11,1,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",30697.399999999998,30694.984423831265,1
38,126256,1,11,2,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",37886.999999999985,37916.71149600283,0
46,105764,2,6,0,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",31740.0,31766.09016333482,2
58,104761,1,13,2,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",31442.899999999998,31396.106454063065,0
37,50367,0,8,2,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",15119.3,15049.887344298902,0
29,78862,0,2,0,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",23664.8,23675.258525083187,1
59,71011,1,1,3,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",21315.8,21342.063711224044,0
26,130413,0,18,0,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",39132.7,39066.22028766677,1
47,80298,0,15,3,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",24102.1,24053.08139841027,0
51,113021,1,20,3,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",33920.99999999999,33936.29275175027,0
58,23095,0,4,3,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",6941.200000000001,6906.342796867006,0
54,79021,2,16,0,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",23720.7,23702.72079370739,2
39,25337,1,3,3,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",7610.0,7570.62659941371,0
41,112606,1,20,1,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",33794.29999999999,33815.48617956371,1
43,118227,1,18,0,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",35480.49999999999,35446.82904286877,1
40,49750,2,4,1,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",14934.3,15019.555248403078,2
32,23616,0,7,3,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",7092.9,7065.050884139124,0
28,79283,2,6,2,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",23792.3,23795.220427583732,2
46,46596,1,3,3,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",13989.1,14037.713781592303,0
57,82463,2,6,1,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",24752.0,24779.970190023512,2
55,131984,0,3,1,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",39606.899999999994,39613.41825243454,1
54,63991,2,20,0,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",19212.5,19203.543504930785,2
28,99174,2,2,2,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",29758.8,29751.36179430321,2
38,127766,0,4,0,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",38338.2,38296.69474162535,1
43,34873,0,18,1,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",10474.2,10465.193904913596,1
20,136327,2,13,3,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",40905.4,40808.110576056984,2
52,45063,2,7,2,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",13531.3,13515.073607012644,2
47,97298,0,15,3,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",29202.1,29242.605795295774,0
59,116604,2,17,3,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",34997.100000000006,34988.39681000395,2
31,147407,2,2,2,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",44229.299999999996,44255.71078156873,2
47,74940,0,1,0,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",22491.600000000002,22437.893944116284,1
32,54835,2,6,3,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",16458.800000000003,16424.75087511739,2
24,116305,2,1,1,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",34897.0,34971.531328013036,2
54,66837,1,8,3,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",20063.999999999996,20117.72835198554,0
56,139504,1,2,2,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",41863.19999999999,41865.87552979997,0
24,73313,1,11,2,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",22001.3,21990.97932726095,0
43,41427,1,7,2,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",12438.500000000002,12424.755579012999,0
49,87274,2,11,0,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",26194.600000000002,26266.250953101055,2
56,113409,0,7,3,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",34035.6,34074.16662263635,0
23,121611,1,1,0,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",36488.29999999999,36481.17594502744,1
34,31340,0,10,0,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",9410.8,9360.35824991845,1
38,114554,1,12,2,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",34376.59999999999,34303.33141659118,0
34,78715,2,3,2,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",23622.5,23590.960079138356,2
27,46464,0,15,0,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",13947.599999999999,13880.229750622246,1
