AMC,Fund Name,Morning star rating,Value Research rating,1 month return,NAV,1 Year return,3 Year Return,Minimum investment,Fund Manager,AUM,Category,Risk,score,Predicted Score,Cluster
canara robeco mutual fund,Canara Robeco Savings Reg-G,4,3,0.56%,39.7,7.15,5.67,Rs.1000.0,Avnish Jain,1218.56,Debt,Low to Moderate,8.128,8.154776481630032,0
canara robeco mutual fund,Canara Robeco Liquid Reg-G,5,5,0.58%,2973.87,7.35,6.02,Rs.1000.0,Avnish Jain,3763.88,Debt,Low to Moderate,10.347999999999999,10.334112853460226,0
canara robeco mutual fund,Canara Robeco Conservative Hybrid Reg-G,3,4,2.19%,92.98,13.06,7.37,Rs.1000.0,Avnish Jain,968.97,Hybrid,Moderately High,12.172,12.12231564325657,0
canara robeco mutual fund,Canara Robeco Conservative Hybrid Reg-G Auto,0,4,2.19%,92.98,13.06,7.37,Rs.1000.0,Avnish Jain,968.97,Hybrid,Moderately High,12.172,12.12231564325657,0
mirae asset mutual fund,Mirae Asset Equity Allocator FoF Reg-G,0,4,5.17%,25.56,35.78,17.47,Rs.500.0,Bharti Sawant,878.74,Other,Moderate ,25.3,25.46297866406597,1
edelweiss mutual fund,Edelweiss Large Cap Reg-G,4,4,5.14%,86.8,34.03,16.52,Rs.100.0,Bhavesh Jain,1081.35,Equity,Moderate ,24.220000000000002,24.15402170892022,1
edelweiss mutual fund,Edelweiss Balanced Advantage Reg-G,4,4,3.53%,51.05,25.55,12.6,Rs.100.0,Bhavesh Jain,12399.09,Hybrid,Very High,19.26,19.37239440795858,0
edelweiss mutual fund,Edelweiss MSCI India Domestic & World Hea,0,2,6.03%,20.32,41.47,16.18,Rs.100.0,Bhavesh Jain,159.58,Other,High ,25.060000000000002,25.18769194763664,2
aditya birla sun life mutual fund,Aditya Birla SL Income Reg-G,4,3,1.05%,118.63,8.34,5.47,Rs.1000.0,Bhupesh Bameta,2012.1,Debt,Moderate,8.524000000000001,8.541212770195502,0
aditya birla sun life mutual fund,Aditya Birla SL Government Securities Reg-G,4,4,1.33%,77.46,10.01,5.79,Rs.1000.0,Bhupesh Bameta,2053.76,Debt,Moderate,10.32,10.274446251193842,0
aditya birla sun life mutual fund,Aditya Birla SL Government Securities Reg-G I,4,4,1.33%,77.46,10.01,5.79,Rs.1000.0,Bhupesh Bameta,2053.76,Debt,Moderate,10.32,10.274446251193842,0
pgim india mutual fund,PGIM India Hybrid Equity-G,1,1,4.50%,127.63,23.09,9.34,Rs.1000.0,Bhupesh Kalyani,218.79,Hybrid,Very High,13.972000000000001,13.685316831511086,2
bandhan mutual fund,Bandhan Overnight Reg-G,0,3,0.53%,1307.15,6.71,5.59,Rs.100.0,Brijesh Shah,1395.36,Debt,Low,7.92,7.864404897641112,0
aditya birla sun life mutual fund,Aditya Birla SL India GenNext Reg-G,4,3,7.08%,228.72,38.96,18.93,Rs.100.0,Chanchal Khandelwal,6010.67,Equity,High ,26.156000000000002,26.14248807309652,1
tata mutual fund,Tata Large & Mid Cap Reg-G,3,3,6.18%,554.22,33.64,19.03,Rs.100.0,Chandraprakash Padiyar,8412.41,Equity,High ,24.068,24.049711124843466,1
tata mutual fund,Tata Small Cap Reg-G,4,4,8.40%,43.49,50.95,28.31,Rs.100.0,Chandraprakash Padiyar,8878.32,Equity,Very High ,35.704,36.893607242100316,1
hdfc mutual fund,HDFC Hybrid Equity-G,3,3,3.85%,117.08,21.9,14.61,Rs.100.0,Chirag Setalvad,24644.67,Hybrid,Very High,17.604,17.874585898359573,2
hdfc mutual fund,HDFC Small Cap Reg-G,3,2,6.83%,143.95,38.03,25.93,Rs.100.0,Chirag Setalvad,33893.79,Equity,Very High,27.584000000000003,27.456253609719624,1
hdfc mutual fund,HDFC Mid-Cap Opportunities-G,4,4,6.21%,193.57,47.9,28.94,Rs.100.0,Chirag Setalvad,75296.23,Equity,High ,34.736000000000004,35.90760266963718,1
bandhan mutual fund,Bandhan ELSS Tax Saver Reg-G,4,4,5.35%,159.23,31.8,19.82,Rs.500.0,Daylynn Gerard Paul Pinto,7234.92,Equity,Moderate ,24.648000000000003,25.68622529476698,1
kotak mahindra mutual fund,Kotak Savings Reg-G,4,2,0.55%,40.5,7.02,5.74,Rs.100.0,Deepak Agrawal,12644.15,Debt,Low to Moderate,7.104,7.074539042286748,2
kotak mahindra mutual fund,Kotak Corporate Bond Standard-G,4,4,0.77%,3530.3,7.99,5.78,Rs.100.0,Deepak Agrawal,13506.55,Debt,Moderate,9.508000000000001,9.512950438729995,0
kotak mahindra mutual fund,Kotak Bond Short-term Reg-G,4,3,0.67%,48.94,7.41,5.24,Rs.100.0,Deepak Agrawal,16078.88,Debt,Moderate,8.06,8.018425178201792,0
kotak mahindra mutual fund,Kotak Medium Term Reg-G,4,2,1.07%,21.3,9.28,5.71,Rs.100.0,Deepak Agrawal,1681.74,Debt,Moderately High,7.996,8.03701097903712,2
kotak mahindra mutual fund,Kotak Dynamic Bond Reg-G,4,3,1.43%,35.56,10.02,5.9,Rs.100.0,Deepak Agrawal,2712.87,Debt,Moderately High,9.368,9.416559177449795,0
kotak mahindra mutual fund,Kotak Liquid Reg-G,5,3,0.57%,4997.93,7.29,5.94,Rs.100.0,Deepak Agrawal,33667.34,Debt,Low to Moderate,8.292000000000002,8.300059349011793,0
kotak mahindra mutual fund,Kotak Floating Rate Reg-G,3,2,0.61%,1413.05,7.72,5.72,Rs.100.0,Deepak Agrawal,4086.92,Debt,Low to Moderate,7.3759999999999994,7.38049600446805,2
kotak mahindra mutual fund,Kotak Overnight Reg-G,0,3,0.54%,1308.62,6.7,5.59,Rs.100.0,Deepak Agrawal,5373.04,Debt,Low,7.916,7.8694490409132145,0
kotak mahindra mutual fund,Kotak Banking and PSU Debt Reg-G,4,3,0.80%,61.31,7.85,5.74,Rs.100.0,Deepak Agrawal,5810.97,Debt,Moderate,8.436,8.37774807969259,0
kotak mahindra mutual fund,Kotak Credit Risk Reg-G,3,1,1.01%,27.98,9.12,5.0,Rs.100.0,Deepak Agrawal,779.46,Debt,High,6.648,6.586713946114932,2
kotak mahindra mutual fund,KotakLow Duration Standard-G,4,1,0.50%,3148.83,6.88,5.46,Rs.100.0,Deepak Agrawal,9489.09,Debt,Low to Moderate,5.936,5.932990802159075,2
kotak mahindra mutual fund,Kotak Money Market Reg-G,4,4,0.60%,4226.77,7.56,6.21,Rs.1000.0,Deepak Agrawal,28234.85,Debt,Low to Moderate,9.508,9.490276173502656,0
invesco mutual fund,Invesco India Arbitrage-G,2,5,0.55%,30.27,7.73,6.31,Rs.500.0,Deepak Gupta,17361.72,Hybrid,Low,10.616,10.62246409696502,0
axis mutual fund,Axis Strategic Bond Reg-G,4,4,0.81%,26.14,8.41,6.17,Rs.100.0,Devang Shah,1946.0,Debt,Moderately High,9.832,9.756979924400568,0
axis mutual fund,Axis Regular Saver Reg-G,3,2,2.30%,28.92,11.21,6.18,Rs.100.0,Devang Shah,306.82,Hybrid,Moderately High,8.956000000000001,9.305956738511894,2
axis mutual fund,Axis Arbitrage Reg-G,0,3,0.51%,17.73,7.62,5.95,Rs.100.0,Devang Shah,5578.38,Hybrid,Low,8.428,8.449518725870393,0
axis mutual fund,Axis Corporate Debt Reg-G,4,4,0.75%,15.96,7.75,5.68,Rs.100.0,Devang Shah,5770.39,Debt,Moderate,9.372,9.34444831317343,0
axis mutual fund,Axis Money Market Reg-G,4,4,0.60%,1346.37,7.59,6.2,Rs.1000.0,Devang Shah,15583.07,Debt,Low to Moderate,9.516,9.520536400272267,0
axis mutual fund,Axis Credit Risk Reg-G,4,3,0.70%,20.03,7.73,5.96,Rs.1000.0,Devang Shah,436.83,Debt,Moderately High,8.476,8.47370275305778,0
axis mutual fund,Axis Gilt Reg-G,3,4,1.41%,24.16,10.71,6.01,Rs.1000.0,Devang Shah,503.57,Debt,Moderate,10.688,10.757877601808923,0
axis mutual fund,Axis Treasury Advantage Reg-G,4,4,0.57%,2908.22,7.34,5.88,Rs.1000.0,Devang Shah,5599.1,Debt,Low to Moderate,9.288,9.309853891289551,0
axis mutual fund,Axis Liquid Reg-G,5,5,0.57%,2751.49,7.37,6.04,Rs.500.0,Devang Shah,28808.1,Debt,Moderate,10.364,10.411844471757906,0
kotak mahindra mutual fund,Kotak Nifty Next 50 Index Reg-G,0,4,5.33%,21.43,64.66,20.85,Rs.100.0,Devender Singhal,340.81,Other,Low ,38.204,38.26503240751455,1
union mutual fund,Union Overnight Reg-G,0,3,0.53%,1291.67,6.71,5.59,Rs.500.0,Devesh Thacker,245.45,Debt,Low,7.92,7.913828812190857,0
union mutual fund,Union Arbitrage Reg-G,0,2,0.54%,13.34,7.66,5.74,Rs.500.0,Devesh Thacker,249.28,Hybrid,Low,7.36,7.389199924975583,2
icici prudential mutual fund,ICICI Pru India Equity FOF-G,0,5,4.43%,30.87,47.26,24.44,Rs.100.0,Dharmesh Kakkad,146.3,Other,Moderate ,33.68,34.04840555584544,1
aditya birla sun life mutual fund,Aditya Birla SL Banking & Financial Servi,4,3,7.29%,57.83,20.43,14.07,Rs.100.0,Dhaval Gala,3270.54,Equity,Very High,16.8,16.84841446390773,2
aditya birla sun life mutual fund,Aditya Birla SL Equity Savings Reg-G,2,1,1.55%,20.9,10.99,5.97,Rs.100.0,Dhaval Shah,602.26,Hybrid,Moderate,7.784,7.427333031894122,2
aditya birla sun life mutual fund,Aditya Birla SL Pharma & Healthcare Reg-G,0,2,5.37%,32.38,54.04,17.62,Rs.100.0,Dhaval Shah,862.61,Equity,Moderately High ,30.664,31.273227966930747,1
aditya birla sun life mutual fund,Aditya Birla SL Retirement - The 40s Plan Reg,0,1,5.04%,18.43,26.54,11.64,Rs.500.0,Dhaval Shah,115.48,Other,Very High,16.272,16.320135124313648,2
aditya birla sun life mutual fund,Aditya Birla SL Retirement - The 50s Plan Reg,0,1,2.13%,14.01,12.71,6.88,Rs.500.0,Dhaval Shah,26.64,Other,Moderately High,8.836,9.32694513436415,2
aditya birla sun life mutual fund,Aditya Birla SL Retirement - The 30s Plan Reg,0,1,6.06%,20.05,33.13,14.06,Rs.500.0,Dhaval Shah,409.59,Other,Very High,19.876000000000005,19.80991849880982,2
edelweiss mutual fund,Edelweiss Arbitrage Reg-G,0,4,0.52%,18.38,7.68,6.06,Rs.100.0,Dhawal Dalal,12304.73,Hybrid,Low,9.496,9.569525142731614,0
edelweiss mutual fund,Edelweiss Aggressive Hybrid Reg-G,4,5,4.35%,62.86,33.94,18.82,Rs.100.0,Dhawal Dalal,2077.12,Hybrid,Moderate ,26.104,25.992806384821513,1
edelweiss mutual fund,Edelweiss Banking and PSU Debt Reg-G,5,2,0.96%,23.1,7.92,5.4,Rs.100.0,Dhawal Dalal,271.35,Debt,Moderate,7.328,7.362582922379827,2
edelweiss mutual fund,Edelweiss Equity Savings Reg-G,3,4,2.37%,23.97,17.28,9.55,Rs.100.0,Dhawal Dalal,471.71,Hybrid,Moderate,14.732000000000001,14.56021888939823,0
edelweiss mutual fund,Edelweiss Money Market Reg-G,3,2,0.54%,26.88,6.79,5.18,Rs.100.0,Dhawal Dalal,721.74,Debt,Low to Moderate,6.788,6.767808184239743,2
invesco mutual fund,Invesco India Financial Services-G,5,4,6.91%,127.93,38.72,17.08,Rs.100.0,Dhimant Kothari,978.28,Equity,High ,26.32,26.194218089783206,1
nippon india mutual fund,Nippon India Hybrid Bond-G,2,2,1.19%,54.34,9.64,7.86,Rs.100.0,Dhrumil Shah,825.74,Hybrid,High,9.0,9.037804614599377,2
bank of india mutual fund,Bank of India Small Cap Reg-G,4,4,8.16%,50.66,52.18,26.47,Rs.1000.0,Dhruv Bhatia,1422.3,Equity,Very High ,35.46,35.19635578424185,1
bank of india mutual fund,Bank of India Bluechip Reg-G,2,2,3.83%,16.8,38.84,14.7,Rs.1000.0,Dhruv Bhatia,191.89,Equity,Very High,23.416,23.423625285831974,2
sbi mutual fund,SBI Retirement Benefit - Aggressive Hybrid Pl,0,4,3.69%,19.26,25.14,16.61,Rs.500.0,Dinesh Ahuja,1544.6,Other,Moderate ,20.700000000000003,20.723662013013843,1
sbi mutual fund,SBI Retirement Benefit - Conservative Plan Re,0,3,1.80%,13.73,12.31,8.75,Rs.500.0,Dinesh Ahuja,177.88,Other,Moderately High,11.424,11.419442764671489,0
sbi mutual fund,SBI Magnum Income-G,5,4,0.97%,66.67,8.2,5.7,Rs.500.0,Dinesh Ahuja,1792.09,Debt,Moderately High,9.56,9.56541513767303,0
sbi mutual fund,SBI Retirement Benefit - Aggressive Plan Reg-,0,4,4.23%,20.96,28.41,18.79,Rs.500.0,Dinesh Ahuja,2763.33,Other,Moderate ,22.880000000000003,21.347295455165025,1
sbi mutual fund,SBI Retirement Benefit Fund - Conservative Hy,0,4,2.35%,15.28,16.22,11.05,Rs.500.0,Dinesh Ahuja,277.15,Other,High,14.908000000000001,14.653223812522299,0
sbi mutual fund,SBI Dynamic Bond-G,4,4,1.22%,33.87,9.05,6.37,Rs.500.0,Dinesh Ahuja,3195.85,Debt,Moderate,10.168000000000001,10.014490817823372,0
sbi mutual fund,SBI Magnum Medium Duration-G,4,4,0.84%,47.99,7.84,5.82,Rs.500.0,Dinesh Ahuja,6195.4,Debt,Moderately High,9.464,9.531342060163501,0
sbi mutual fund,SBI Magnum Gilt-G,5,5,1.28%,62.75,9.73,6.73,Rs.500.0,Dinesh Ahuja,9500.76,Debt,Moderate,11.584,11.663401960538831,0
sbi mutual fund,SBI Long Term Equity Reg-G,5,5,4.03%,449.6,53.05,27.28,Rs.500.0,Dinesh Balachandran,28000.03,Equity,Moderate ,37.132,37.198235630469966,1
sbi mutual fund,SBI Contra-G,2,5,2.44%,398.91,43.16,27.84,Rs.500.0,Dinesh Balachandran,39432.5,Equity,High ,33.4,33.372178673117794,1
sbi mutual fund,SBI Multi Asset Allocation-G,4,4,3.72%,56.47,25.52,15.27,Rs.500.0,Dinesh Balachandran,5865.8,Hybrid,Very High,20.316000000000003,20.457195562606564,0
sundaram mutual fund,Sundaram Equity Savings-G,4,3,2.99%,68.26,18.77,11.17,Rs.100.0,Dwijendra Srivastava,926.21,Hybrid,Moderate,14.975999999999999,14.688827844033788,0
sundaram mutual fund,Sundaram Ultra Short Duration Reg-G,3,2,0.50%,2552.57,6.28,4.96,Rs.1000.0,Dwijendra Srivastava,1908.67,Debt,Low to Moderate,6.496,6.477805576675392,2
sundaram mutual fund,Sundaram Money Market Reg-G,3,3,0.59%,14.11,7.37,5.95,Rs.1000.0,Dwijendra Srivastava,229.86,Debt,Low to Moderate,8.328000000000001,8.278028260244103,0
sundaram mutual fund,Sundaram Conservative Hybrid-G,3,3,2.17%,28.8,11.53,9.11,Rs.1000.0,Dwijendra Srivastava,27.24,Hybrid,Moderately High,11.256,11.12703544607898,0
sundaram mutual fund,Sundaram Banking & PSU Reg-G,4,3,0.82%,40.34,7.85,5.42,Rs.1000.0,Dwijendra Srivastava,332.74,Debt,Moderate,8.308,8.312995987223191,0
sundaram mutual fund,SundaramLow Duration-G,2,5,0.79%,3269.15,7.13,8.13,Rs.1000.0,Dwijendra Srivastava,337.07,Debt,Moderate,11.104000000000001,11.092273347105156,0
sundaram mutual fund,Sundaram Liquid-G,1,3,0.57%,2181.72,7.3,5.98,Rs.1000.0,Dwijendra Srivastava,5396.04,Debt,Low to Moderate,8.312000000000001,8.312165949838201,0
sundaram mutual fund,Sundaram Short Duration-G,3,5,1.07%,41.63,7.89,8.05,Rs.250.0,Dwijendra Srivastava,182.37,Debt,Moderate,11.376000000000001,11.182058618786188,0
sundaram mutual fund,Sundaram Overnight Reg-G,0,3,0.53%,1303.2,6.68,5.58,Rs.250.0,Dwijendra Srivastava,660.33,Debt,Low,7.904,7.874531947425665,0
sundaram mutual fund,Sundaram Corporate Bond Reg-G,4,3,0.85%,37.63,7.78,5.41,Rs.250.0,Dwijendra Srivastava,712.18,Debt,Moderate,8.276,8.285141295731263,0
sundaram mutual fund,Sundaram Arbitrage Reg-G,0,1,0.49%,13.73,7.24,5.29,Rs.500.0,Dwijendra Srivastava,158.29,Hybrid,Low,6.0120000000000005,6.080418617308979,2
mahindra manulife mutual fund,Mahindra Manulife Flexi Cap Reg-G,0,3,5.50%,16.78,34.82,18.63,Rs.500.0,Fatema Pacha,1491.53,Equity,Very High,24.380000000000003,24.438274860894136,1
mirae asset mutual fund,Mirae Asset Large Cap Reg-G,3,2,6.10%,114.06,27.32,13.19,Rs.500.0,Gaurav Khandelwal,41592.92,Equity,Very High,18.204,18.08608992077743,2
mirae asset mutual fund,Mirae Asset Banking and Financial Services Re,3,4,5.83%,18.99,21.06,14.86,Rs.500.0,Gaurav Kochar,1821.94,Equity,Very High,18.368,18.652487586506364,0
mirae asset mutual fund,Mirae Asset Focused Reg-G,2,1,8.97%,26.21,24.98,10.54,Rs.500.0,Gaurav Misra,8413.24,Equity,Very High,15.208000000000002,15.136221560290464,2
hsbc mutual fund,HSBC Managed Solutions India Conservative Reg,3,2,1.20%,20.62,10.45,5.84,Rs.500.0,Gautam Bhupal,25.33,Other,Moderately High,8.516,8.6267320133545,2
hsbc mutual fund,HSBC ELSS Tax saver-G,3,3,6.09%,137.19,48.28,19.51,Rs.500.0,Gautam Bhupal,4421.31,Equity,Moderate ,30.116000000000003,30.10936100969393,1
hsbc mutual fund,HSBC Managed Solutions India Growth Reg-G,4,3,3.93%,40.69,30.7,14.99,Rs.500.0,Gautam Bhupal,45.54,Other,Very High,21.276000000000003,21.149837378069268,2
hsbc mutual fund,HSBC Managed Solutions IndiaModerate Reg-G,3,2,3.32%,35.14,25.93,12.9,Rs.500.0,Gautam Bhupal,60.65,Other,High,17.532,17.635931258853876,2
bandhan mutual fund,Bandhan Credit Risk Reg-G,3,2,0.67%,15.5,7.09,4.96,Rs.100.0,Gautam Kaul,330.45,Debt,Moderately High,6.82,6.704817275219405,2
bandhan mutual fund,Bandhan Money Manager Reg-G,3,2,0.57%,37.95,6.86,5.48,Rs.100.0,Gautam Kaul,7518.29,Debt,Low to Moderate,6.936,6.890396466569011,2
hdfc mutual fund,HDFC Large and Mid Cap Reg-G,3,4,5.81%,350.62,42.96,24.92,Rs.100.0,Gopal Agrawal,23712.31,Equity,Very High,31.152,31.383219589568434,1
hdfc mutual fund,HDFC Capital Builder Value-G,2,2,6.25%,755.05,45.05,21.33,Rs.100.0,Gopal Agrawal,7733.37,Equity,Moderate ,28.552,28.619895608259338,1
taurus mutual fund,Taurus Banking & Financial Services Reg-G,3,3,3.87%,50.96,19.34,13.95,Rs.500.0,Hardik Shah,11.09,Equity,Very High,16.316000000000003,16.421533626270932,2
taurus mutual fund,Taurus Mid Cap Reg-G,3,2,4.46%,131.5,35.18,21.58,Rs.500.0,Hardik Shah,140.33,Equity,High ,24.704,24.758555450424225,1
kotak mahindra mutual fund,Kotak Infrastructure and Economic Reform Stan,3,5,5.19%,71.54,54.56,31.1,Rs.100.0,Harish Krishnan,2446.66,Equity,High ,39.264,39.28748266811918,1
kotak mahindra mutual fund,Kotak Bluechip Reg-G,4,4,5.17%,579.34,33.76,15.42,Rs.100.0,Harish Krishnan,9465.07,Equity,Very High,23.672,23.579869085164017,1
kotak mahindra mutual fund,Kotak Equity Opportunities Reg-G,4,4,4.87%,348.69,41.71,21.08,Rs.100.0,Harsha Upadhyaya,25292.75,Equity,Moderately High ,29.116,29.29027658602827,1
kotak mahindra mutual fund,Kotak Flexicap Reg-G,0,3,4.63%,83.97,34.46,16.57,Rs.100.0,Harsha Upadhyaya,52955.61,Equity,Moderate ,23.412,23.32526830153136,1
kotak mahindra mutual fund,Kotak ELSS Tax Saver Reg-G,4,4,4.68%,120.49,37.06,19.47,Rs.500.0,Harsha Upadhyaya,6297.77,Equity,Moderate ,26.612000000000002,26.876218882372648,1
bandhan mutual fund,Bandhan Liquid Reg-G,5,3,0.57%,2987.56,7.29,5.97,Rs.100.0,Harshal Joshi,12792.36,Debt,Low to Moderate,8.304,8.303552379434636,0
bandhan mutual fund,Bandhan All Seasons Bond Reg-G,4,3,0.78%,41.11,7.76,5.39,Rs.100.0,Harshal Joshi,162.25,Other,Moderate,8.26,8.262867059757177,0
bandhan mutual fund,Bandhan Ultra Short Term Reg-G,4,3,0.57%,14.36,7.26,5.85,Rs.100.0,Harshal Joshi,3686.68,Debt,Low to Moderate,8.244,8.235754132024518,0
bandhan mutual fund,BandhanLow Duration Reg-G,4,3,0.56%,36.33,7.16,5.65,Rs.100.0,Harshal Joshi,5868.0,Debt,Low to Moderate,8.124,8.090326478433566,0
bandhan mutual fund,Bandhan Arbitrage Regular-G,2,3,0.54%,30.79,7.6,5.89,Rs.100.0,Harshal Joshi,6722.9,Hybrid,Low,8.396,8.402860552157488,0
kotak mahindra mutual fund,Kotak Equity Arbitrage Reg-G,4,5,0.54%,35.52,7.92,6.23,Rs.100.0,Hiten Shah,53423.15,Hybrid,Low,10.66,10.629000993787045,0
icici prudential mutual fund,ICICI Pru Large & Mid Cap-G,4,5,6.70%,1004.49,46.13,26.09,Rs.100.0,Ihab Dalwai,16586.84,Equity,High ,33.888000000000005,33.52062079734775,1
icici prudential mutual fund,ICICI Pru Infrastructure-G,4,4,5.70%,198.46,58.05,37.12,Rs.100.0,Ihab Dalwai,6142.92,Equity,Very High,42.068,41.3598859410245,1
lic mutual fund,LIC MF Banking & Financial Services Reg-G,3,1,6.23%,20.27,13.7,11.16,Rs.1000.0,Jaiprakash Toshniwal,292.73,Equity,Very High,10.944,10.761694402450562,2
lic mutual fund,LIC MF Nifty 50 Index-G,2,2,5.01%,139.94,26.45,13.66,Rs.1000.0,Jaiprakash Toshniwal,332.68,Other,Very High,18.044,18.05427477609858,2
lic mutual fund,LIC MF BSE Sensex Index-G,1,1,4.92%,155.02,23.03,12.75,Rs.1000.0,Jaiprakash Toshniwal,86.45,Other,Very High,15.312000000000001,15.693816558438074,2
dsp mutual fund,DSP Top 100 Equity Reg-G,1,3,5.12%,472.14,38.6,16.06,Rs.100.0,Jay Kothari,4456.73,Equity,Moderate ,24.864,25.201240042465983,1
dsp mutual fund,DSP Value Reg-G,1,2,4.50%,21.25,39.1,16.71,Rs.100.0,Jay Kothari,923.93,Equity,High ,24.324,24.812260793731088,2
lic mutual fund,LIC MF Nifty Next 50 Index-G,4,4,5.28%,55.93,64.27,20.55,Rs.1000.0,Jayesh Dinesh Shah,98.86,Other,Low ,37.928,38.18118640919181,1
axis mutual fund,Axis Focused Reg-G,2,1,8.29%,56.82,32.85,6.67,Rs.100.0,Jinesh Gopani,14155.62,Equity,Very High,16.808,17.825170095411664,2
axis mutual fund,Axis Growth Opportunities Reg-G,3,3,5.08%,33.14,41.08,17.37,Rs.100.0,Jinesh Gopani,14161.13,Equity,Moderately High ,26.38,26.359378071030932,1
axis mutual fund,Axis ELSS Tax Saver-G,2,1,6.55%,98.48,35.66,9.29,Rs.500.0,Jinesh Gopani,38422.94,Equity,Very High,18.98,18.817706987394924,2
baroda bnp paribas mutual fund,Baroda BNP Paribas Aggressive Hybrid Reg-G,4,4,3.59%,28.07,31.31,15.21,Rs.500.0,Jitendra Sriram,1170.76,Hybrid,Very High,22.608,22.17843818852086,1
baroda bnp paribas mutual fund,Baroda BNP Paribas Large Cap-G,4,4,4.10%,230.87,40.49,18.31,Rs.500.0,Jitendra Sriram,2342.57,Equity,Moderate ,27.520000000000003,27.19118829175315,1
dsp mutual fund,DSPLow Duration Reg-G,3,3,0.57%,18.68,7.16,5.7,Rs.100.0,Karan Mundra,4811.12,Debt,Low to Moderate,8.144,8.185100308345183,0
uti mutual fund,UTI Large Cap Reg-G,3,3,6.05%,283.1,29.77,13.24,Rs.500.0,Karthikraj Lakshmanan,13809.22,Equity,Very High,20.204,20.237181721798144,2
uti mutual fund,UTI Large Cap Reg-G Canserve,0,3,6.05%,283.1,29.77,13.24,Rs.500.0,Karthikraj Lakshmanan,13809.22,Equity,Very High,20.204,20.237181721798144,2
aditya birla sun life mutual fund,Aditya Birla SL Active Debt Multi Manager FoF,4,4,0.94%,35.28,8.03,5.46,Rs.100.0,Kaustubh Gupta,21.82,Other,Moderate,9.396,9.356166459724083,0
aditya birla sun life mutual fund,Aditya Birla SL Corporate Bond Reg-G,5,4,0.83%,105.75,8.24,6.1,Rs.100.0,Kaustubh Gupta,21436.88,Debt,Moderate,9.736,9.817316028248014,0
aditya birla sun life mutual fund,Aditya Birla SL Floating Rate Reg-G,4,5,0.56%,326.39,7.54,6.16,Rs.1000.0,Kaustubh Gupta,12671.53,Debt,Low to Moderate,10.48,10.486623012317711,0
aditya birla sun life mutual fund,Aditya Birla SL Money Manager Reg-G,4,5,0.60%,348.23,7.63,6.26,Rs.1000.0,Kaustubh Gupta,27664.75,Debt,Moderate,10.556000000000001,10.518017219150238,0
aditya birla sun life mutual fund,Aditya Birla SL Short Term Reg-G,4,4,0.73%,44.57,7.66,5.81,Rs.1000.0,Kaustubh Gupta,8315.2,Debt,Moderate,9.388,9.349356021633751,0
aditya birla sun life mutual fund,Aditya Birla SL Overnight Reg-G,0,3,0.53%,1325.06,6.69,5.59,Rs.1000.0,Kaustubh Gupta,8823.35,Debt,Low,7.912000000000001,7.856431157436716,0
aditya birla sun life mutual fund,Aditya Birla SL Banking & PSU Debt Reg-G,5,4,0.73%,343.8,7.66,5.64,Rs.1000.0,Kaustubh Gupta,9406.52,Debt,Moderate,9.32,9.246496543477285,0
aditya birla sun life mutual fund,Aditya Birla SLLow Duration Reg-G,4,2,0.51%,619.46,6.84,5.57,Rs.500.0,Kaustubh Gupta,10861.44,Debt,Moderate,6.964,6.944844926953369,2
icici prudential mutual fund,ICICI Pru Equity Savings-G,2,4,1.52%,21.44,10.4,8.85,Rs.100.0,Kayzad Eghlim,11403.31,Hybrid,Low to Moderate,11.7,11.474922992906402,0
icici prudential mutual fund,ICICI Pru Nifty 50 Index -G,3,3,5.07%,253.25,27.27,14.29,Rs.100.0,Kayzad Eghlim,11525.06,Other,Very High,19.624000000000002,19.67013906179017,2
icici prudential mutual fund,ICICI Pru Nifty 100Low Volatility 30 ETF FOF,0,3,6.93%,19.02,39.22,16.76,Rs.100.0,Kayzad Eghlim,1285.12,Other,Low ,25.392000000000003,25.543972535835707,1
icici prudential mutual fund,ICICI Pru BSE Sensex Index-G,0,2,5.00%,26.88,24.02,13.5,Rs.100.0,Kayzad Eghlim,1722.85,Other,Very High,17.008000000000003,17.173268752608553,2
icici prudential mutual fund,ICICI Pru Nifty Next 50 Index-G,5,4,5.34%,66.37,65.16,20.76,Rs.100.0,Kayzad Eghlim,6863.18,Other,Low ,38.368,38.214771982510484,1
icici prudential mutual fund,ICICI Pru BHARAT 22 FOF-G,0,5,0.91%,33.99,55.62,39.47,Rs.1000.0,Kayzad Eghlim,2040.16,Other,Very High,43.036,40.79058441476014,1
icici prudential mutual fund,ICICI Pru Equity Arbitrage-G,3,4,0.58%,32.52,7.63,5.97,Rs.1000.0,Kayzad Eghlim,24111.41,Hybrid,Low,9.44,9.393306908968423,0
dsp mutual fund,DSP Equity Savings Reg-G,3,3,2.39%,20.97,16.93,9.07,Rs.100.0,Kedar Karnik,1735.4,Hybrid,Moderate,13.4,13.299309571570415,0
dsp mutual fund,DSP Liquidity Reg-G,4,3,0.58%,3528.99,7.34,5.99,Rs.100.0,Kedar Karnik,18699.2,Debt,Low to Moderate,8.332,8.286151394982026,0
dsp mutual fund,DSP Overnight Reg-G,0,4,0.54%,1315.1,6.73,5.63,Rs.100.0,Kedar Karnik,2131.74,Debt,Low,8.944,8.958203147852247,0
dsp mutual fund,DSP Ultra Short Reg-G,3,3,0.54%,3218.93,6.95,5.46,Rs.100.0,Kedar Karnik,2845.84,Debt,Low to Moderate,7.964,7.983494140057985,0
